itemID, type, scores, prediction 
178,社区主导,0.008585641654495296,社区主导
179,社区主导,0.08950812466616992,社区主导
180,社区主导,0.0770175795280077,社区主导
181,其他类型,1.1644361768493887,其他类型
182,政府主导,2.107594212624823,政府主导
183,社区主导,0.3037368551757846,社区主导
184,社区主导,0.25105185291649174,社区主导
185,社区主导,0.26762148256799423,社区主导
186,社区主导,0.3422496332084695,社区主导
187,政府主导,1.8843196577733727,政府主导
